number,detailed_number,name,form_name,form_category,category,type_1,type_2,hgt_ft,hgt_m,wgt_lbs,wgt_kg,bmi,gen,hp,attack,defense,sp_atk,sp_def,speed,total,evolves_to,evo_family,stage
168,168,Ariados,,,,Bug,Poison,3.583,1.1,73.9,33.5,27.7,2,70,90,70,60,70,40,400,,167,2
169,169,Crobat,,,,Poison,Flying,5.917,1.8,165.3,75,23.1,2,85,90,80,70,80,130,535,,41,3
170,170,Chinchou,,,,Water,Electric,1.667,0.5,26.5,12,48,2,75,38,38,56,56,67,330,171,170,1
171,171,Lanturn,,,,Water,Electric,3.917,1.2,49.6,22.5,15.6,2,125,58,58,76,76,67,460,,170,2
172,172,Pichu,,,,Electric,,1,0.3,4.4,2,22.2,2,20,40,15,35,35,60,205,25,25,1
173,173,Cleffa,,,,Fairy,,1,0.3,6.6,3,33.3,2,50,25,28,45,55,15,218,35,35,1
174,174,Igglybuff,,,,Normal,Fairy,1,0.3,2.2,1,11.1,2,90,30,15,40,20,15,210,39,39,1
175,175,Togepi,,,,Fairy,,1,0.3,3.3,1.5,16.7,2,35,20,65,40,65,20,245,176,175,1
176,176,Togetic,,,,Fairy,Flying,2,0.6,7.1,3.2,8.9,2,55,40,85,80,105,40,405,468,175,2
177,177,Natu,,,,Psychic,Flying,0.667,0.2,4.4,2,50,2,40,50,45,70,45,70,320,178,177,1
178,178,Xatu,,,,Psychic,Flying,4.917,1.5,33.1,15,6.7,2,65,75,70,95,70,95,470,,177,2
179,179,Mareep,,,,Electric,,2,0.6,17.2,7.8,21.7,2,55,40,40,65,45,35,280,180,179,1
180,180,Flaaffy,,,,Electric,,2.583,0.8,29.3,13.3,20.8,2,70,55,55,80,60,45,365,181,179,2
181,181,Ampharos,,,,Electric,,4.583,1.4,135.6,61.5,31.4,2,90,75,85,115,90,55,510,,179,3
181,181.1,Ampharos,Mega Ampharos,Mega,Mega,Electric,Dragon,4.583,1.4,135.6,61.5,31.4,6,90,95,105,165,110,45,610,,179,4
182,182,Bellossom,,,,Grass,,1.333,0.4,12.8,5.8,36.3,2,75,80,95,90,100,50,490,,43,3
183,183,Marill,,,,Water,Fairy,1.333,0.4,18.7,8.5,53.1,2,70,20,50,20,50,40,250,184,183,2
184,184,Azumarill,,,,Water,Fairy,2.583,0.8,62.8,28.5,44.5,2,100,50,80,60,80,50,420,,183,3
185,185,Sudowoodo,,,,Rock,,3.917,1.2,83.8,38,26.4,2,70,100,115,30,65,30,410,,185,2
186,186,Politoed,,,,Water,,3.583,1.1,74.7,33.9,28,2,90,75,75,90,100,70,500,,60,3
187,187,Hoppip,,,,Grass,Flying,1.333,0.4,1.1,0.5,3.1,2,35,35,40,35,55,50,250,188,187,1
188,188,Skiploom,,,,Grass,Flying,2,0.6,2.2,1,2.8,2,55,45,50,45,65,80,340,189,187,2
189,189,Jumpluff,,,,Grass,Flying,2.583,0.8,6.6,3,4.7,2,75,55,70,55,95,110,460,,187,3
190,190,Aipom,,,,Normal,,2.583,0.8,25.4,11.5,18,2,55,70,55,40,55,85,360,424,190,1
191,191,Sunkern,,,,Grass,,1,0.3,4,1.8,20,2,30,30,30,30,30,30,180,192,191,1
192,192,Sunflora,,,,Grass,,2.583,0.8,18.7,8.5,13.3,2,75,75,55,105,85,30,425,,191,2
193,193,Yanma,,,,Bug,Flying,3.917,1.2,83.8,38,26.4,2,65,65,45,75,45,95,390,469,193,1
194,194,Wooper,,,,Water,Ground,1.333,0.4,18.7,8.5,53.1,2,55,45,45,25,25,15,210,195,194,1
194,194.1,Wooper,Paldean Wooper,Regional,,Poison,Ground,1.333,0.4,24.3,11,68.8,9,55,45,45,25,25,15,210,980,194.1,1
195,195,Quagsire,,,,Water,Ground,4.583,1.4,165.3,75,38.3,2,95,85,85,65,65,35,430,,194,2
196,196,Espeon,,,,Psychic,,2.917,0.9,58.4,26.5,32.7,2,65,65,60,130,95,110,525,,133,2
197,197,Umbreon,,,,Dark,,3.25,1,59.5,27,27,2,95,65,110,60,130,65,525,,133,2
198,198,Murkrow,,,,Dark,Flying,1.667,0.5,4.6,2.1,8.4,2,60,85,42,85,42,91,405,430,198,1
199,199,Slowking,,,,Water,Psychic,6.583,2,175.3,79.5,19.9,2,95,75,80,100,110,30,490,,79,2
199,199.1,Slowking,Galarian Slowking,Regional,,Poison,Psychic,5.917,1.8,175.3,79.5,24.5,8,95,65,80,110,110,30,490,,79,2
200,200,Misdreavus,,,,Ghost,,2.333,0.7,2.2,1,2,2,60,60,60,85,85,85,435,429,200,1
201,201,Unown,,,,Psychic,,1.667,0.5,11,5,20,2,48,72,48,72,48,48,336,,,1
202,202,Wobbuffet,,,,Psychic,,4.25,1.3,62.8,28.5,16.9,2,190,33,58,33,58,33,405,,202,2
203,203,Girafarig,,,,Normal,Psychic,4.917,1.5,91.5,41.5,18.4,2,70,80,65,90,65,85,455,981,203,1
204,204,Pineco,,,,Bug,,2,0.6,15.9,7.2,20,2,50,65,90,35,35,15,290,205,204,1
205,205,Forretress,,,,Bug,Steel,3.917,1.2,277.3,125.8,87.4,2,75,90,140,60,60,40,465,,204,2
206,206,Dunsparce,,,,Normal,,4.917,1.5,30.9,14,6.2,2,100,70,70,65,65,45,415,982,206,1
207,207,Gligar,,,,Ground,Flying,3.583,1.1,142.9,64.8,53.6,2,65,75,105,35,65,85,430,472,207,1
208,208,Steelix,,,,Steel,Ground,30.167,9.2,881.8,400,4.7,2,75,85,200,55,65,30,510,,95,2
208,208.1,Steelix,Mega Steelix,Mega,Mega,Steel,Ground,34.417,10.5,1631.4,740,6.7,6,75,125,230,55,95,30,610,,95,3
209,209,Snubbull,,,,Fairy,,2,0.6,17.2,7.8,21.7,2,60,80,50,40,40,30,300,210,209,1
210,210,Granbull,,,,Fairy,,4.583,1.4,107.4,48.7,24.8,2,90,120,75,60,60,45,450,,209,2
211,211,Qwilfish,,,,Water,Poison,1.667,0.5,8.6,3.9,15.6,2,65,95,85,55,55,85,440,,,1
211,211.1,Qwilfish,Hisuian Qwilfish,Regional,,Dark,Poison,1.667,0.5,8.6,3.9,15.6,8,65,95,85,55,55,85,440,904,211.1,1
212,212,Scizor,,,,Bug,Steel,5.917,1.8,260.1,118,36.4,2,70,130,100,55,80,65,500,,123,2
212,212.1,Scizor,Mega Scizor,Mega,Mega,Bug,Steel,6.583,2,275.6,125,31.3,6,70,150,140,65,100,75,600,,123,3
213,213,Shuckle,,,,Bug,Rock,2,0.6,45.2,20.5,56.9,2,20,10,230,10,230,5,505,,,1
214,214,Heracross,,,,Bug,Fighting,4.917,1.5,119,54,24,2,80,125,75,40,95,85,500,,214,1
214,214.1,Heracross,Mega Heracross,Mega,Mega,Bug,Fighting,5.583,1.7,137.8,62.5,21.6,6,80,185,115,40,105,75,600,,214,2
215,215,Sneasel,,,,Dark,Ice,2.917,0.9,61.7,28,34.6,2,55,95,55,35,75,115,430,461,215,1
215,215.1,Sneasel,Hisuian Sneasel,Regional,,Fighting,Poison,2.917,0.9,59.5,27,33.3,8,55,95,55,35,75,115,430,903,215.1,1
216,216,Teddiursa,,,,Normal,,2,0.6,19.4,8.8,24.4,2,60,80,50,50,50,40,330,217,216,1
217,217,Ursaring,,,,Normal,,5.917,1.8,277.3,125.8,38.8,2,90,130,75,75,75,55,500,901,216,2
218,218,Slugma,,,,Fire,,2.333,0.7,77.2,35,71.4,2,40,40,40,70,40,20,250,219,218,1
219,219,Magcargo,,,,Fire,Rock,2.583,0.8,121.3,55,85.9,2,60,50,120,90,80,30,430,,218,2
220,220,Swinub,,,,Ice,Ground,1.333,0.4,14.3,6.5,40.6,2,50,50,40,30,30,50,250,221,220,1
221,221,Piloswine,,,,Ice,Ground,3.583,1.1,123,55.8,46.1,2,100,100,80,60,60,50,450,473,220,2
222,222,Corsola,,,,Water,Rock,2,0.6,11,5,13.9,2,65,55,95,65,95,35,410,,,1
222,222.1,Corsola,Galarian Corsola,Regional,,Ghost,,2,0.6,1.1,0.5,1.4,8,60,55,100,65,100,30,410,864,222.1,1
223,223,Remoraid,,,,Water,,2,0.6,26.5,12,33.3,2,35,65,35,65,35,65,300,224,223,1
224,224,Octillery,,,,Water,,2.917,0.9,62.8,28.5,35.2,2,75,105,75,105,75,45,480,,223,2
225,225,Delibird,,,,Ice,Flying,2.917,0.9,35.3,16,19.8,2,45,55,45,65,45,75,330,,,1
226,226,Mantine,,,,Water,Flying,6.917,2.1,485,220,49.9,2,85,40,70,80,140,70,485,,226,2
227,227,Skarmory,,,,Steel,Flying,5.583,1.7,111.3,50.5,17.5,2,65,80,140,40,70,70,465,,,1
228,228,Houndour,,,,Dark,Fire,2,0.6,23.8,10.8,30,2,45,60,30,80,50,65,330,229,228,1
229,229,Houndoom,,,,Dark,Fire,4.583,1.4,77.2,35,17.9,2,75,90,50,110,80,95,500,,228,2
229,229.1,Houndoom,Mega Houndoom,Mega,Mega,Dark,Fire,6.25,1.9,109.1,49.5,13.7,6,75,90,90,140,90,115,600,,228,3
230,230,Kingdra,,,,Water,Dragon,5.917,1.8,335.1,152,46.9,2,75,95,95,95,95,85,540,,116,3
231,231,Phanpy,,,,Ground,,1.667,0.5,73.9,33.5,134,2,90,60,60,40,40,40,330,232,231,1
232,232,Donphan,,,,Ground,,3.583,1.1,264.6,120,99.2,2,90,120,120,60,60,50,500,,231,2
233,233,Porygon2,,,,Normal,,2,0.6,71.7,32.5,90.3,2,85,80,90,105,95,60,515,474,137,2
234,234,Stantler,,,,Normal,,4.583,1.4,157,71.2,36.3,2,73,95,62,85,65,85,465,899,234,1
235,235,Smeargle,,,,Normal,,3.917,1.2,127.9,58,40.3,2,55,20,35,20,45,75,250,,,1
236,236,Tyrogue,,,,Fighting,,2.333,0.7,46.3,21,42.9,2,35,35,35,35,35,35,210,"106,107,237",106,1
237,237,Hitmontop,,,,Fighting,,4.583,1.4,105.8,48,24.5,2,50,95,95,35,110,70,455,,106,2
238,238,Smoochum,,,,Ice,Psychic,1.333,0.4,13.2,6,37.5,2,45,30,15,85,65,65,305,124,124,1
239,239,Elekid,,,,Electric,,2,0.6,51.8,23.5,65.3,2,45,63,37,65,55,95,360,125,125,1
240,240,Magby,,,,Fire,,2.333,0.7,47.2,21.4,43.7,2,45,75,37,70,55,83,365,126,126,1
241,241,Miltank,,,,Normal,,3.917,1.2,166.4,75.5,52.4,2,95,80,105,40,70,100,490,,,1
242,242,Blissey,,,,Normal,,4.917,1.5,103.2,46.8,20.8,2,255,10,10,75,135,55,540,,113,3
243,243,Raikou,,,Sublegendary,Electric,,6.25,1.9,392.4,178,49.3,2,90,85,75,115,100,115,580,,,1
244,244,Entei,,,Sublegendary,Fire,,6.917,2.1,436.5,198,44.9,2,115,115,85,90,75,100,580,,,1
245,245,Suicune,,,Sublegendary,Water,,6.583,2,412.3,187,46.8,2,100,75,115,90,115,85,580,,,1
246,246,Larvitar,,,Pseudolegendary,Rock,Ground,2,0.6,158.7,72,200,2,50,64,50,45,50,41,300,247,246,1
247,247,Pupitar,,,Pseudolegendary,Rock,Ground,3.917,1.2,335.1,152,105.6,2,70,84,70,65,70,51,410,248,246,2
248,248,Tyranitar,,,Pseudolegendary,Rock,Dark,6.583,2,445.3,202,50.5,2,100,134,110,95,100,61,600,,246,3
248,248.1,Tyranitar,Mega Tyranitar,Mega,Mega,Rock,Dark,8.167,2.5,562.2,255,40.8,6,100,164,150,95,120,71,700,,246,4
249,249,Lugia,,,Legendary,Psychic,Flying,17.83,5.2,476.2,216,8,2,106,90,130,90,154,110,680,,,1
250,250,Ho-oh,,,Legendary,Fire,Flying,12.5,3.8,438.7,199,13.8,2,106,130,90,110,154,90,680,,,1
251,251,Celebi,,,Mythical,Psychic,Grass,2,0.6,11,5,13.9,2,100,100,100,100,100,100,600,,,1
252,252,Treecko,,,,Grass,,1.667,0.5,11,5,20,3,40,45,35,65,55,70,310,253,252,1
253,253,Grovyle,,,,Grass,,2.917,0.9,47.6,21.6,26.7,3,50,65,45,85,65,95,405,254,252,2
254,254,Sceptile,,,,Grass,,5.583,1.7,115.1,52.2,18.1,3,70,85,65,105,85,120,530,,252,3
254,254.1,Sceptile,Mega Sceptile,Mega,Mega,Grass,Dragon,6.25,1.9,121.7,55.2,15.3,6,70,110,75,145,85,145,630,,252,4
255,255,Torchic,,,,Fire,,1.333,0.4,5.5,2.5,15.6,3,45,60,40,70,50,45,310,256,255,1
256,256,Combusken,,,,Fire,Fighting,2.917,0.9,43,19.5,24.1,3,60,85,60,85,60,55,405,257,255,2
257,257,Blaziken,,,,Fire,Fighting,6.25,1.9,114.6,52,14.4,3,80,120,70,110,70,80,530,,255,3
257,257.1,Blaziken,Mega Blaziken,Mega,Mega,Fire,Fighting,6.25,1.9,114.6,52,14.4,6,80,160,80,130,80,100,630,,255,4
258,258,Mudkip,,,,Water,,1.333,0.4,16.8,7.6,47.5,3,50,70,50,50,50,40,310,259,258,1
259,259,Marshtomp,,,,Water,Ground,2.333,0.7,61.7,28,57.1,3,70,85,70,60,70,50,405,260,258,2
260,260,Swampert,,,,Water,Ground,4.917,1.5,180.6,81.9,36.4,3,100,110,90,85,90,60,535,,258,3
260,260.1,Swampert,Mega Swampert,Mega,Mega,Water,Ground,6.25,1.9,224.9,102,28.3,6,100,150,110,95,110,70,635,,258,4
261,261,Poochyena,,,,Dark,,1.667,0.5,30,13.6,54.4,3,35,55,35,30,30,35,220,262,261,1
262,262,Mightyena,,,,Dark,,3.25,1,81.6,37,37,3,70,90,70,60,60,70,420,,261,2
263,263,Zigzagoon,,,,Normal,,1.333,0.4,38.6,17.5,109.4,3,38,30,41,30,41,60,240,264,263,1
263,263.1,Zigzagoon,Galarian Zigzagoon,Regional,,Dark,Normal,1.333,0.4,38.6,17.5,109.4,8,38,30,41,30,41,60,240,264.1,263.1,1
264,264,Linoone,,,,Normal,,1.667,0.5,71.7,32.5,130,3,78,70,61,50,61,100,420,,263,2
264,264.1,Linoone,Galarian Linoone,Regional,,Dark,Normal,1.667,0.5,71.7,32.5,130,8,78,70,61,50,61,100,420,862,263.1,2
265,265,Wurmple,,,,Bug,,1,0.3,7.9,3.6,40,3,45,45,35,20,30,20,195,"266,268",265,1
266,266,Silcoon,,,,Bug,,2,0.6,22,10,27.8,3,50,35,55,25,25,15,205,267,265,2
267,267,Beautifly,,,,Bug,Flying,3.25,1,62.6,28.4,28.4,3,60,70,50,100,50,65,395,,265,3
268,268,Cascoon,,,,Bug,,2.333,0.7,25.4,11.5,23.5,3,50,35,55,25,25,15,205,269,265,2
269,269,Dustox,,,,Bug,Poison,3.917,1.2,69.7,31.6,21.9,3,60,50,70,50,90,65,385,,265,3
270,270,Lotad,,,,Water,Grass,1.667,0.5,5.7,2.6,10.4,3,40,30,30,40,50,30,220,271,270,1
271,271,Lombre,,,,Water,Grass,3.917,1.2,71.7,32.5,22.6,3,60,50,50,60,70,50,340,272,270,2
272,272,Ludicolo,,,,Water,Grass,4.917,1.5,121.3,55,24.4,3,80,70,70,90,100,70,480,,270,3
273,273,Seedot,,,,Grass,,1.667,0.5,8.8,4,16,3,40,40,50,30,30,30,220,274,273,1
274,274,Nuzleaf,,,,Grass,Dark,3.25,1,61.7,28,28,3,70,70,40,60,40,60,340,275,273,2
275,275,Shiftry,,,,Grass,Dark,4.25,1.3,131.4,59.6,35.3,3,90,100,60,90,60,80,480,,273,3
276,276,Taillow,,,,Normal,Flying,1,0.3,5.1,2.3,25.6,3,40,55,30,30,30,85,270,277,276,1
277,277,Swellow,,,,Normal,Flying,2.333,0.7,43.7,19.8,40.4,3,60,85,60,75,50,125,455,,276,2
278,278,Wingull,,,,Water,Flying,2,0.6,20.9,9.5,26.4,3,40,30,30,55,30,85,270,279,278,1
279,279,Pelipper,,,,Water,Flying,3.917,1.2,61.7,28,19.4,3,60,50,100,95,70,65,440,,278,2
280,280,Ralts,,,,Psychic,Fairy,1.333,0.4,14.6,6.6,41.3,3,28,25,25,45,35,40,198,281,280,1
281,281,Kirlia,,,,Psychic,Fairy,2.583,0.8,44.5,20.2,31.6,3,38,35,35,65,55,50,278,"282,475",280,2
282,282,Gardevoir,,,,Psychic,Fairy,5.25,1.6,106.7,48.4,18.9,3,68,65,65,125,115,80,518,,280,3
282,282.1,Gardevoir,Mega Gardevoir,Mega,Mega,Psychic,Fairy,5.25,1.6,106.7,48.4,18.9,6,68,85,65,165,135,100,618,,280,4
283,283,Surskit,,,,Bug,Water,1.667,0.5,3.7,1.7,6.8,3,40,30,32,50,52,65,269,284,283,1
284,284,Masquerain,,,,Bug,Flying,2.583,0.8,7.9,3.6,5.6,3,70,60,62,100,82,80,454,,283,2
285,285,Shroomish,,,,Grass,,1.333,0.4,9.9,4.5,28.1,3,60,40,60,40,60,35,295,286,285,1
286,286,Breloom,,,,Grass,Fighting,3.917,1.2,86.4,39.2,27.2,3,60,130,80,60,60,70,460,,285,2
287,287,Slakoth,,,,Normal,,2.583,0.8,52.9,24,37.5,3,60,60,60,35,35,30,280,288,287,1
288,288,Vigoroth,,,,Normal,,4.583,1.4,102.5,46.5,23.7,3,80,80,80,55,55,90,440,289,287,2
289,289,Slaking,,,,Normal,,6.583,2,287.7,130.5,32.6,3,150,160,100,95,65,100,670,,287,3
290,290,Nincada,,,,Bug,Ground,1.667,0.5,12.1,5.5,22,3,31,45,90,30,30,40,266,"291,292",290,1
291,291,Ninjask,,,,Bug,Flying,2.583,0.8,26.5,12,18.8,3,61,90,45,50,50,160,456,,290,2
292,292,Shedinja,,,,Bug,Ghost,2.583,0.8,2.6,1.2,1.9,3,1,90,45,30,30,40,236,,290,2
293,293,Whismur,,,,Normal,,2,0.6,35.9,16.3,45.3,3,64,51,23,51,23,28,240,294,293,1
294,294,Loudred,,,,Normal,,3.25,1,89.3,40.5,40.5,3,84,71,43,71,43,48,360,295,293,2
295,295,Exploud,,,,Normal,,4.917,1.5,185.2,84,37.3,3,104,91,63,91,73,68,490,,293,3
296,296,Makuhita,,,,Fighting,,3.25,1,190.5,86.4,86.4,3,72,60,30,20,30,25,237,297,296,1
297,297,Hariyama,,,,Fighting,,7.583,2.3,559.5,253.8,48,3,144,120,60,40,60,50,474,,296,2
298,298,Azurill,,,,Normal,Fairy,0.667,0.2,4.4,2,50,3,50,20,40,20,40,20,190,183,183,1
299,299,Nosepass,,,,Rock,,3.25,1,213.8,97,97,3,30,45,135,45,90,30,375,476,299,1
300,300,Skitty,,,,Normal,,2,0.6,24.3,11,30.6,3,50,45,45,35,35,50,260,301,300,1
301,301,Delcatty,,,,Normal,,3.583,1.1,71.9,32.6,26.9,3,70,65,65,55,55,90,400,,300,2
302,302,Sableye,,,,Dark,Ghost,1.667,0.5,24.3,11,44,3,50,75,75,65,65,50,380,,302,1
302,302.1,Sableye,Mega Sableye,Mega,Mega,Dark,Ghost,1.667,0.5,354.9,161,644,6,50,85,125,85,115,20,480,,302,2
303,303,Mawile,,,,Steel,Fairy,2,0.6,25.4,11.5,31.9,3,50,85,85,55,55,50,380,,303,1
303,303.1,Mawile,Mega Mawile,Mega,Mega,Steel,Fairy,3.25,1,51.8,23.5,23.5,6,50,105,125,55,95,50,480,,303,2
304,304,Aron,,,,Steel,Rock,1.333,0.4,132.3,60,375,3,50,70,100,40,40,30,330,305,304,1
305,305,Lairon,,,,Steel,Rock,2.917,0.9,264.6,120,148.1,3,60,90,140,50,50,40,430,306,304,2
306,306,Aggron,,,,Steel,Rock,6.917,2.1,793.7,360,81.6,3,70,110,180,60,60,50,530,,304,3
306,306.1,Aggron,Mega Aggron,Mega,Mega,Steel,,7.25,2.2,870.8,395,81.6,6,70,140,230,60,80,50,630,,304,4
307,307,Meditite,,,,Fighting,Psychic,2,0.6,24.7,11.2,31.1,3,30,40,55,40,55,60,280,308,307,1
308,308,Medicham,,,,Fighting,Psychic,4.25,1.3,69.4,31.5,18.6,3,60,60,75,60,75,80,410,,307,2
308,308.1,Medicham,Mega Medicham,Mega,Mega,Fighting,Psychic,4.25,1.3,69.4,31.5,18.6,6,60,100,85,80,85,100,510,,307,3
309,309,Electrike,,,,Electric,,2,0.6,33.5,15.2,42.2,3,40,45,40,65,40,65,295,310,309,1
310,310,Manectric,,,,Electric,,4.917,1.5,88.6,40.2,17.9,3,70,75,60,105,60,105,475,,309,2
310,310.1,Manectric,Mega Manectric,Mega,Mega,Electric,,5.917,1.8,97,44,13.6,6,70,75,80,135,80,135,575,,309,3
311,311,Plusle,,,,Electric,,1.333,0.4,9.3,4.2,26.3,3,60,50,40,85,75,95,405,,,1
312,312,Minun,,,,Electric,,1.333,0.4,9.3,4.2,26.3,3,60,40,50,75,85,95,405,,,1
313,313,Volbeat,,,,Bug,,2.333,0.7,39,17.7,36.1,3,65,73,75,47,85,85,430,,,1
314,314,Illumise,,,,Bug,,2,0.6,39,17.7,49.2,3,65,47,75,73,85,85,430,,,1
315,315,Roselia,,,,Grass,Poison,1,0.3,4.4,2,22.2,3,50,60,45,100,80,65,400,407,315,2
316,316,Gulpin,,,,Poison,,1.333,0.4,22.7,10.3,64.4,3,70,43,53,43,53,40,302,317,316,1
317,317,Swalot,,,,Poison,,5.583,1.7,176.4,80,27.7,3,100,73,83,73,83,55,467,,316,2
318,318,Carvanha,,,,Water,Dark,2.583,0.8,45.9,20.8,32.5,3,45,90,20,65,20,65,305,319,318,1
319,319,Sharpedo,,,,Water,Dark,5.917,1.8,195.8,88.8,27.4,3,70,120,40,95,40,95,460,,318,2
319,319.1,Sharpedo,Mega Sharpedo,Mega,Mega,Water,Dark,8.167,2.5,287.3,130.3,20.8,6,70,140,70,110,65,105,560,,318,3
320,320,Wailmer,,,,Water,,6.583,2,286.6,130,32.5,3,130,70,35,70,35,60,400,321,320,1
321,321,Wailord,,,,Water,,47.583,14.5,877.4,398,1.9,3,170,90,45,90,45,60,500,,320,2
322,322,Numel,,,,Fire,Ground,2.333,0.7,52.9,24,49,3,60,60,40,65,45,35,305,323,322,1
323,323,Camerupt,,,,Fire,Ground,6.25,1.9,485,220,60.9,3,70,100,70,105,75,40,460,,322,2
323,323.1,Camerupt,Mega Camerupt,Mega,Mega,Fire,Ground,8.167,2.5,706.6,320.5,51.3,6,70,120,100,145,105,20,560,,322,3
324,324,Torkoal,,,,Fire,,1.667,0.5,177.3,80.4,321.6,3,70,85,140,85,70,20,470,,,1
325,325,Spoink,,,,Psychic,,2.333,0.7,67.5,30.6,62.4,3,60,25,35,70,80,60,330,326,325,1
326,326,Grumpig,,,,Psychic,,2.917,0.9,157.6,71.5,88.3,3,80,45,65,90,110,80,470,,325,2
327,327,Spinda,,,,Normal,,3.583,1.1,11,5,4.1,3,60,60,60,60,60,60,360,,,1
328,328,Trapinch,,,,Ground,,2.333,0.7,33.1,15,30.6,3,45,100,45,45,45,10,290,329,328,1
329,329,Vibrava,,,,Ground,Dragon,3.583,1.1,33.7,15.3,12.6,3,50,70,50,50,50,70,340,330,328,2
330,330,Flygon,,,,Ground,Dragon,6.583,2,180.8,82,20.5,3,80,100,80,80,80,100,520,,328,3
331,331,Cacnea,,,,Grass,,1.333,0.4,113.1,51.3,320.6,3,50,85,40,85,40,35,335,332,331,1
332,332,Cacturne,,,,Grass,Dark,4.25,1.3,170.6,77.4,45.8,3,70,115,60,115,60,55,475,,331,2
333,333,Swablu,,,,Normal,Flying,1.333,0.4,2.6,1.2,7.5,3,45,40,60,40,75,50,310,334,333,1
334,334,Altaria,,,,Dragon,Flying,3.583,1.1,45.4,20.6,17,3,75,70,90,70,105,80,490,,333,2
334,334.1,Altaria,Mega Altaria,Mega,Mega,Dragon,Fairy,4.917,1.5,45.4,20.6,9.2,6,75,110,110,110,105,80,590,,333,3
335,335,Zangoose,,,,Normal,,4.25,1.3,88.8,40.3,23.8,3,73,115,60,60,60,90,458,,,1
336,336,Seviper,,,,Poison,,8.833,2.7,115.7,52.5,7.2,3,73,100,60,100,60,65,458,,,1
337,337,Lunatone,,,,Rock,Psychic,3.25,1,370.4,168,168,3,90,55,65,95,85,70,460,,,1
338,338,Solrock,,,,Rock,Psychic,3.917,1.2,339.5,154,106.9,3,90,95,85,55,65,70,460,,,1
339,339,Barboach,,,,Water,Ground,1.333,0.4,4.2,1.9,11.9,3,50,48,43,46,41,60,288,340,339,1
340,340,Whiscash,,,,Water,Ground,2.917,0.9,52,23.6,29.1,3,110,78,73,76,71,60,468,,339,2
341,341,Corphish,,,,Water,,2,0.6,25.4,11.5,31.9,3,43,80,65,50,35,35,308,342,341,1
342,342,Crawdaunt,,,,Water,Dark,3.583,1.1,72.3,32.8,27.1,3,63,120,85,90,55,55,468,,341,2
343,343,Baltoy,,,,Ground,Psychic,1.667,0.5,47.4,21.5,86,3,40,40,55,40,70,55,300,344,343,1
344,344,Claydol,,,,Ground,Psychic,4.917,1.5,238.1,108,48,3,60,70,105,70,120,75,500,,343,2
345,345,Lileep,,,,Rock,Grass,3.25,1,52.5,23.8,23.8,3,66,41,77,61,87,23,355,346,345,1
346,346,Cradily,,,,Rock,Grass,4.917,1.5,133.2,60.4,26.8,3,86,81,97,81,107,43,495,,345,2
347,347,Anorith,,,,Rock,Bug,2.333,0.7,27.6,12.5,25.5,3,45,95,50,40,50,75,355,348,347,1
348,348,Armaldo,,,,Rock,Bug,4.917,1.5,150.4,68.2,30.3,3,75,125,100,70,80,45,495,,347,2
349,349,Feebas,,,,Water,,2,0.6,16.3,7.4,20.6,3,20,15,20,10,55,80,200,350,349,1
350,350,Milotic,,,,Water,,20.333,6.2,357.1,162,4.2,3,95,60,79,100,125,81,540,,349,2
351,351,Castform,,,,Normal,,1,0.3,1.8,0.8,8.9,3,70,70,70,70,70,70,420,,,1
351,351.1,Castform,Sunny Form,Alternate,,Fire,,1,0.3,1.8,0.8,8.9,3,70,70,70,70,70,70,420,,,1
351,351.2,Castform,Rainy Form,Alternate,,Water,,1,0.3,1.8,0.8,8.9,3,70,70,70,70,70,70,420,,,1
351,351.3,Castform,Snowy Form,Alternate,,Ice,,1,0.3,1.8,0.8,8.9,3,70,70,70,70,70,70,420,,,1
352,352,Kecleon,,,,Normal,,3.25,1,48.5,22,22,3,60,90,70,60,120,40,440,,,1
353,353,Shuppet,,,,Ghost,,2,0.6,5.1,2.3,6.4,3,44,75,35,63,33,45,295,354,353,1
354,354,Banette,,,,Ghost,,3.583,1.1,27.6,12.5,10.3,3,64,115,65,83,63,65,455,,353,2
354,354.1,Banette,Mega Banette,Mega,Mega,Ghost,,3.917,1.2,28.7,13,9,6,64,165,75,93,83,75,555,,353,3
355,355,Duskull,,,,Ghost,,2.583,0.8,33.1,15,23.4,3,20,40,90,30,90,25,295,356,355,1
356,356,Dusclops,,,,Ghost,,5.25,1.6,67.5,30.6,12,3,40,70,130,60,130,25,455,477,355,2
357,357,Tropius,,,,Grass,Flying,6.583,2,220.5,100,25,3,99,68,83,72,87,51,460,,,1
358,358,Chimecho,,,,Psychic,,2,0.6,2.2,1,2.8,3,75,50,80,95,90,65,455,,358,2
359,359,Absol,,,,Dark,,3.917,1.2,103.6,47,32.6,3,65,130,60,75,60,75,465,,359,1
359,359.1,Absol,Mega Absol,Mega,Mega,Dark,,3.917,1.2,108,49,34,6,65,150,60,115,60,115,565,,359,2
360,360,Wynaut,,,,Psychic,,2,0.6,30.9,14,38.9,3,95,23,48,23,48,23,260,202,202,1
361,361,Snorunt,,,,Ice,,2.333,0.7,37,16.8,34.3,3,50,50,50,50,50,50,300,"362,478",361,1
362,362,Glalie,,,,Ice,,4.917,1.5,565.5,256.5,114,3,80,80,80,80,80,80,480,,361,2
362,362.1,Glalie,Mega Glalie,Mega,Mega,Ice,,6.917,2.1,772.1,350.2,79.4,6,80,120,80,120,80,100,580,,361,3
363,363,Spheal,,,,Ice,Water,2.583,0.8,87.1,39.5,61.7,3,70,40,50,55,50,25,290,364,363,1
